TPSS  —  Teaching & Practicum Scheduling System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start date,25 เม.ย. 2569,Due date,7 มิ.ย. 2569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Initiation / Planning,,,,,,,,Development,,,,,,,,Testing,,,,,,,,Deployment,,,,,,,,Phase 2 (Future),,,,,,,,Weekend ,,
,,,,,,เมษายน  2026,,,,,,พฤษภาคม  2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,มิถุนายน  2026,,,,,,
,,,,,,25,26,27,28,29,30,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,1,2,3,4,5,6,7
11.1,    Sub-Sprint 1 - โมดูล 11: อนุมัติตาราง (Approval Workflow),Developer,Not Started,ระบบส่งตารางเพื่อขออนุมัติจากผู้บริหารพร้อมการแจ้งเตือน,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.1.1,"      Task17# ส่งตารางขออนุมัติ & ล็อก Draft (M11-01,06)",Developer,Not Started,-,ส่งขออนุมัติและล็อกตาราง (สถานะ Draft),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.1.2,"      Task18# อนุมัติ/ปฏิเสธ + Notification (M11-02,03,04,05)",Developer,Not Started,-,อนุมัติ/ปฏิเสธ และระบบแจ้งเตือน,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.2,    Sub-Sprint 2 - โมดูล 12: ประวัติการเปลี่ยนแปลง (Audit Trail),Developer,Not Started,ระบบเก็บบันทึกประวัติการแก้ไขตารางทั้งหมด (ใครแก้ไขอะไร เมื่อไหร่),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.2.1,"      Task19# Auto-log ทุก Action & แสดง Before/After (M12-01,02)",Developer,Not Started,-,บันทึกประวัติการแก้ไขและเทียบข้อมูลก่อน-หลัง,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.2.2,"      Task20# Filter Log & Export Excel (M12-03,04)",Developer,Not Started,-,ค้นหาประวัติและ Export เป็น Excel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.3,    Sub-Sprint 3 - โมดูล 5: แจ้งเตือนอัจฉริยะ (Smart Warning),Developer,Not Started,ระบบแจ้งเตือนหากภาระงานอาจารย์ไม่ตรงเกณฑ์ หรือรายวิชายังไม่ได้จัดตาราง,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.3.1,"      Task21# Warning ภาระงานอาจารย์เกิน/ต่ำกว่าเกณฑ์ (M5-01,02)",Developer,Not Started,-,แจ้งเตือนภาระงานอาจารย์ (เกิน/ไม่ถึงเกณฑ์),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.3.2,"      Task22# Warning ห้องเรียน, Course ไม่มีตาราง & Warning UI (M5-03..06)",Developer,Not Started,-,แจ้งเตือนรายวิชาหรือห้องที่ยังไม่ได้จัดตาราง,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.4,    Sub-Sprint 4 - โมดูล 6: สรุปภาระงานอาจารย์ (Workload),Developer,Not Started,แดชบอร์ดและกราฟสรุปภาระงานอาจารย์รายบุคคลและภาพรวมภาควิชา,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.4.1,"      Task23# สรุปภาระงานรายอาจารย์ & ตาราง Department (M6-01,02)",Developer,Not Started,-,สรุปชั่วโมงสอนรายบุคคลและภาพรวมภาควิชา,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.4.2,"      Task24# Bar Chart, ชั่วโมงฝึกปฏิบัติ & Export Excel (M6-03,04,05)",Developer,Not Started,-,กราฟภาระงานและ Export เป็น Excel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5,    Sub-Sprint 5 - โมดูล 9: รายงาน (Reporting Module),Developer,Not Started,ระบบออกรายงานอัตราการใช้ห้องเรียนและตารางสอน พร้อม Export เป็น Excel,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5.1,"      Task25# รายงานตารางสอนรายบุคคล & รายห้อง (M9-01,02)",Developer,Not Started,-,รายงานตารางสอนของอาจารย์และห้องเรียน,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5.2,"      Task26# Room Utilization, Department Summary & Export (M9-03,04,05)",Developer,Not Started,-,รายงานสถิติการใช้ห้องและสรุปภาพรวมแผนก,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
